#{"t_start": 1716122026.0764842, "env_id": "None"}
r,l,t,num_wraps,c
-246.808227,100,2.469833,0.0,0
-274.521331,100,5.591899,0.0,0
-285.027891,100,8.28273,0.0,0
-241.376962,100,10.527913,0.11469894936402295,0
-246.162958,100,12.830689,0.0,0
-235.361826,100,15.207783,0.7956687367998388,0
-271.64855,100,17.496488,0.0,0
-255.423093,100,19.909345,0.0,0
-267.696355,100,22.343545,0.0,0
-250.579675,100,24.873571,0.0,0
-262.371225,100,27.310449,0.0,0
-250.764075,100,29.829657,0.0,0
-271.476006,100,32.313585,0.0,0
-264.689696,100,34.790183,0.0,0
-271.28155,100,37.746412,0.0,0
-263.120138,100,40.313307,0.0,2
-262.236884,100,42.82938,0.0,0
-244.569483,100,45.388225,0.0,0
-251.137792,100,47.993651,0.0,0
-273.473928,100,50.909528,0.0,0
-278.330813,100,53.869598,0.0,0
-241.93207,100,56.51838,0.0,0
-260.038494,100,59.445326,0.0,0
-270.175321,100,62.44329,0.0,0
-270.870282,100,65.084761,0.0,0
-255.942042,100,67.772963,0.0,0
-268.288157,100,70.533594,0.0,0
-262.010161,100,73.199546,0.0,0
-261.126918,100,75.83139,0.0,0
-251.120993,100,78.676021,0.0,0
-261.024103,100,81.535084,0.0,2
-250.931782,100,84.326001,0.0,0
-273.224349,100,87.09339,0.0,0
-263.978722,100,89.78718,0.0,0
-255.740954,100,92.426601,0.0,1
-243.651695,100,95.229136,0.0,0
-252.024079,100,97.889995,0.0,0
-256.167995,100,101.564129,0.0,0
-269.263744,100,105.749647,0.0,0
-243.320946,100,109.769607,0.0,0
-270.510673,100,114.239231,0.0,0
-261.08117,100,117.454313,0.0,0
-233.585833,100,120.525283,0.0,0
-241.787427,100,123.509818,0.0,2
-244.591312,100,126.454191,0.0,0
-247.476084,100,129.458192,0.0,0
-235.899393,100,132.53149,0.0,0
-233.111362,100,135.538036,0.0,0
-239.867367,100,138.623927,0.0,0
-230.405772,100,141.698547,0.0,0
-244.379965,100,154.868027,0.0,0
-229.444118,100,158.326642,0.0,1
-227.820443,100,161.632081,0.1073318907465752,0
-233.975266,100,164.818889,0.0,0
-233.628057,100,168.171382,0.0,0
-232.051649,100,171.503168,0.0,0
-242.498544,100,174.676374,0.0,0
-213.752109,100,178.107742,0.0,0
-237.995312,100,181.237409,0.0,0
-230.31413,100,184.21405,0.0,0
-233.794506,100,187.29722,0.0,1
-232.782243,100,190.357811,0.0,0
-235.235575,100,193.46589,0.0,3
-229.5588,100,196.817892,0.0,0
-231.448119,100,200.44499,0.0,0
-230.618083,100,203.750387,0.0,0
-232.754544,100,207.171884,0.0,0
-223.303878,100,210.370506,0.0,0
-227.129218,100,213.555625,0.0,0
-179.61789,100,217.129582,0.0,1
-219.57297,100,220.565556,0.0,0
-160.747939,100,224.311804,1.0595906958755206,2
-213.715132,100,227.894985,0.0,0
-226.528465,100,231.307642,0.0,0
-211.405592,100,234.57913,0.381989976943506,1
-226.426383,100,237.605746,0.0,0
-217.149843,100,240.871451,0.0,0
-212.405785,100,244.122618,0.7400604508478853,0
-170.245559,100,247.617401,0.0,2
-217.755633,100,250.93457,0.0,0
-221.214148,100,254.039632,0.0,0
-213.43881,100,257.339397,0.0,0
-225.807246,100,260.459077,0.0,0
-212.928612,100,263.72688,0.0,0
-214.68291,100,266.933482,0.0,0
-221.385832,100,270.045002,0.0,0
-229.931441,100,273.223001,0.0,0
-224.931186,100,276.362054,0.0,0
-218.833492,100,279.536028,0.0,0
-223.880577,100,282.533506,0.0,0
-144.963971,100,286.035127,0.8836844623669081,0
-195.635892,100,289.087985,0.0,0
-228.037075,100,292.183866,0.0,0
-232.423869,100,295.137638,0.0,0
-225.59719,100,298.183746,0.0,0
-142.957204,100,301.942166,1.1043502493243216,7
-232.344664,100,304.906324,0.0,0
-230.271415,100,308.26796,0.0,0
-230.617156,100,311.13661,0.0,0
-139.55213,100,314.726566,1.1615740270078947,9
-236.739312,100,328.390516,0.0,0
-233.959766,100,331.925737,0.0,0
-236.514746,100,334.92743,0.0,0
-231.99667,100,337.983124,0.0,0
-207.164719,100,341.309929,0.0,7
-230.361321,100,344.414078,0.0,0
-231.992388,100,347.469264,0.0,0
-233.752311,100,350.442636,0.0,0
-237.974924,100,353.563108,0.0,0
-235.976783,100,356.965863,0.0,0
-138.736411,100,360.88392,1.025521537213417,0
-229.486605,100,364.069583,0.0,0
-222.592498,100,367.116929,0.0,0
-139.414797,100,370.960224,2.042730856496085,9
-231.785739,100,373.979334,0.07511592814815796,0
-143.927909,100,377.725689,0.9761485582423766,8
-223.431878,100,381.496503,0.0,0
-227.890744,100,385.134513,0.0,0
-226.245745,100,388.161628,0.0,0
-227.209927,100,391.291308,0.08898051956136545,0
-226.591188,100,394.7212,0.08299744411974078,0
-136.532994,100,398.810271,0.9587392677876561,9
-151.916901,100,402.650128,0.0,0
-135.688414,100,406.91392,0.9211173924374043,0
-153.665947,100,411.135012,0.8213116987578382,11
-217.180591,100,415.260771,0.7675401499852433,3
-140.749171,100,419.205109,1.1164319047415663,0
-140.100967,100,423.361177,1.1502225228353111,6
-151.005908,100,427.309842,0.8374272752948416,9
-131.374693,100,431.218109,0.9514552404904291,6
-226.152011,100,434.558967,0.32596929002450126,0
-149.638848,100,438.232183,0.9504482408028596,2
-219.297105,100,441.44495,0.0,0
-131.128925,100,445.327104,0.9795985731277314,0
-228.39309,100,448.929884,0.0,0
-228.018755,100,452.213648,0.0,0
-226.8576,100,455.878545,0.15594947706119608,0
-140.362276,100,459.691694,1.0277182142089865,9
-180.037212,100,463.332103,1.0087319067322307,4
-225.401485,100,466.482461,0.0,0
-220.772169,100,469.855918,0.013726692072899477,0
-162.175083,100,473.552132,0.0,0
-221.794478,100,476.863263,0.0,0
-221.410317,100,480.163596,0.003082717867293878,0
-200.260257,100,483.613044,0.0,5
-145.124173,100,487.38601,0.8198516075093271,17
-224.114697,100,490.60994,0.0,0
-163.328782,100,494.286842,1.051976893583458,1
-185.300692,100,498.466194,0.7680413920721731,15
-139.874776,100,502.310145,0.9661034500123814,7
-141.836889,100,518.552555,1.0452919132113787,9
-222.8304,100,521.966873,0.0,0
-221.24911,100,525.473849,0.09207179686921442,0
-223.897891,100,528.996062,0.0,0
-223.256916,100,532.847434,0.0,0
-223.79832,100,536.31625,0.11815172165528058,0
-226.229372,100,539.633135,0.0,0
-226.825173,100,543.180615,0.08456877215913393,0
-222.760309,100,546.600493,0.2728327033232407,0
-144.254334,100,550.634338,0.9492563206051171,0
-131.206265,100,554.706258,0.9792577542410004,0
-132.037807,100,558.622455,0.874461466571651,0
-135.351034,100,562.802105,0.9217892227247221,0
-223.966475,100,566.182728,0.10670815958366729,0
-149.400004,100,570.191946,0.8410860444925403,0
-223.539401,100,573.53639,0.010540378152452906,0
-224.904617,100,576.937875,0.0,0
-142.126228,100,580.864421,0.7030941568993389,0
-129.441784,96,584.555236,1.095259707797683,1
-202.779951,100,588.85622,0.9228398115879786,2
-131.793586,100,594.622457,0.9915445907899241,0
-133.006657,100,599.549402,1.084640973249654,0
-155.359731,100,603.707685,1.056186682206865,0
-175.395785,100,607.946444,0.8359458520725735,0
-131.828196,100,612.323756,0.8957695237623621,0
-216.235434,100,615.970478,0.03095946670985195,0
-220.293357,100,619.358084,0.10678632729296804,0
-179.987354,100,623.255576,0.7747608446129132,0
-226.186911,100,626.498618,0.0,0
-211.431674,100,630.361361,0.487927780905283,3
-233.197832,100,634.242277,0.7595826117773458,0
-220.247509,100,637.594342,0.19333442964107136,0
-144.873898,100,641.169778,0.8593352345032547,0
-211.541066,100,644.567339,0.0,0
-167.617416,100,648.310249,0.8126261942862101,0
-217.98042,100,651.451974,0.0,0
-219.811765,100,654.631365,0.31697991628734523,0
-215.174043,100,657.926689,0.1606148408724661,0
-131.612381,100,661.621985,1.0827886466130743,1
-222.436293,100,664.825852,0.0,0
-214.506424,100,668.147755,0.04114570614268295,0
-222.136184,100,671.819305,0.7705317969506404,0
-163.451597,100,675.512481,0.8357334886835147,6
-235.19176,100,680.499748,0.7527568752287755,9
-141.525366,100,685.485554,0.9040931343819207,8
-218.128475,100,689.186303,0.0,0
-225.508645,100,693.370215,0.0,0
-220.536586,100,697.217986,0.0,0
-234.861347,100,701.359802,0.726532900427572,5
-219.671635,100,705.072199,0.09087233104417736,0
-224.231426,100,720.670128,0.0,0
-220.355336,100,724.328071,0.0737506365637274,0
-225.348235,100,727.754221,0.0,0
-213.862856,100,731.259696,0.15611120637223888,0
-143.816966,100,735.128635,0.8451193051946636,0
-129.300297,100,739.034943,1.0645065244995797,0
-133.498203,100,743.391011,0.8758607560275365,0
-138.782925,100,747.337209,0.8599437215442683,1
-191.279674,100,751.348726,0.674356155077624,0
-132.064111,100,755.180336,0.9370755158666998,0
-220.94476,100,758.470426,0.0,0
-119.408918,91,761.814386,0.9453051954912551,0
-213.822131,100,764.934467,0.2128186171056994,0
-222.634595,100,768.114064,0.0,0
-148.009489,100,771.765086,1.0239710391973367,0
-215.881481,100,774.81734,0.1427206693600214,0
-207.680936,100,778.22639,0.02398413017757572,0
-294.048577,100,780.719462,0.0,0
-126.783084,91,784.081956,0.9935706504499205,0
-189.227513,100,787.756395,0.7683964459885587,0
-153.313705,91,791.017112,0.8879780670846462,0
-211.752136,100,795.071523,0.7763480230701628,0
-285.54362,100,798.131344,0.0,0
-147.203011,100,801.97106,0.8839286123997897,0
-290.299581,100,804.456235,0.0,0
-165.772588,100,808.27503,0.0,0
-71.88138,48,810.011808,1.0479175504635676,0
-106.379076,79,813.039392,0.937862014888423,0
-281.183453,100,815.824102,0.0,0
-278.02474,100,818.52256,0.0,0
-216.165719,100,821.834467,0.12777232992947463,0
-282.050246,100,824.640615,0.0,0
-214.009818,100,828.605802,0.25283736925852085,0
-277.554026,100,831.391324,0.0,0
-229.782154,100,835.083984,0.0,0
-217.075537,100,839.194725,0.038504062382633514,1
-245.227439,100,843.213279,0.0,0
-85.794908,53,845.236504,0.888224301020777,1
-73.674567,49,847.177029,0.9127106646028432,1
-46.501012,25,848.08525,0.9898124082206421,0
-174.826952,80,852.291333,0.817638582104489,0
-276.814535,100,855.815235,0.0,0
-277.400543,100,859.342786,0.0,0
-221.114219,100,863.921191,0.0,0
-285.149008,100,866.990066,0.0,0
-245.540289,100,871.447244,0.0,0
-54.94323,32,872.831138,1.0246311617283852,1
-63.98066,40,874.26518,0.9597760927200176,1
-226.89841,100,878.316771,0.0,0
-58.873555,32,879.798816,0.8013755326049921,1
-71.24901,46,882.013546,0.8890132963506299,0
-68.631771,37,883.920821,0.8469938274922524,0
-46.927471,26,885.147013,0.8580983667850628,0
-234.263423,100,890.084635,0.0,0
-277.919654,100,893.473213,0.0,0
-276.892922,100,896.765907,0.0,0
-275.841915,100,912.829702,0.0,0
-50.835157,30,914.351803,0.9225364759459493,0
-211.835095,100,918.982078,0.0,0
-45.416283,27,920.071163,0.9099892064372357,0
-259.342178,100,924.049293,0.0,0
-239.055532,100,927.648649,0.0,0
-279.36876,100,930.43541,0.0,0
-51.455807,29,931.477462,0.9359611173849105,0
-272.760434,100,934.445681,0.0,0
-45.872416,26,935.337302,1.0892736879297236,0
-241.017644,100,938.65019,0.0,0
-44.377349,23,939.516169,0.8209553922789026,0
-59.16116,28,940.537054,0.8467377291651584,0
-262.650346,100,944.39578,0.0,0
-40.494285,21,945.108557,0.8605311526973087,0
-254.692702,100,948.047737,0.0,0
-263.369316,100,951.11229,0.0,0
-246.314804,100,955.043356,0.0,0
-275.277892,100,957.970582,0.0,0
-40.367837,21,958.71592,0.9026260311208041,0
-251.153506,100,961.792914,0.0,0
-41.203531,20,962.428459,1.0701825596348709,0
-36.070341,19,963.077679,0.9556978328056007,0
-278.417257,100,965.9462,0.0,0
-245.242635,100,969.218459,0.0,0
-35.433686,17,969.767672,1.069175801750866,0
-40.736744,21,970.464365,0.9176667556368608,0
-38.617906,19,971.099708,0.8449080729406265,0
-277.619876,100,973.749039,0.0,0
-42.706968,23,974.519752,1.2628464228296632,0
-40.798137,20,975.210148,1.056270615543122,0
-40.047631,19,975.865179,0.8016119319251178,0
-40.36648,19,976.503624,1.1076860809173752,0
-39.148527,19,977.096768,0.9828583075685419,0
-38.742663,19,977.718765,1.2581766303581587,0
-274.128871,100,981.186462,0.0,0
-274.674267,100,983.995199,0.0,0
-74.765822,34,985.390551,0.8074683378496487,0
-249.864656,100,988.507561,0.0,0
-278.377533,100,991.23642,0.0,0
-276.536374,100,994.041014,0.0,0
-275.862039,100,996.801318,0.0,0
-31.773196,16,997.31367,1.1229962333294718,0
-271.278459,100,1000.190592,0.0,0
-38.352811,19,1000.840254,1.1525244596745643,0
-39.746737,19,1001.503934,1.163938925845013,0
-35.097775,17,1002.048179,0.9786453080438482,0
-274.359931,100,1004.792814,0.0,0
-38.842719,19,1005.448884,0.877876565923311,0
-272.360752,100,1008.859299,0.0,0
-40.522148,20,1009.576563,0.8493617337749589,0
-252.402207,100,1012.844456,0.0,0
-277.831865,100,1015.745787,0.0,0
-245.982084,100,1020.127665,0.0,0
-245.14663,100,1024.398476,0.0,0
-248.879986,100,1027.911362,0.0,0
-247.747862,100,1031.335965,0.0,0
-279.316224,100,1034.640057,0.0,0
-252.915822,100,1038.52421,0.0,0
-278.898516,100,1041.438741,0.0,0
-34.80843,17,1041.993796,1.1067125759715808,0
-245.215876,100,1045.809232,0.0,0
-253.336512,100,1049.479166,0.0,0
-266.039197,100,1053.647975,0.0,0
-246.270582,100,1057.815366,0.0,0
-243.867802,100,1062.283152,0.0,0
-245.492072,100,1066.743015,0.0,0
-35.20569,16,1067.419633,0.8879049123580899,0
-241.788145,100,1071.571256,0.0,0
-236.337936,100,1075.013082,0.0,0
-240.10961,100,1079.064493,0.0,0
-232.470873,100,1083.628778,0.0,1
-244.424466,100,1101.573501,0.0,0
-235.323897,100,1106.202146,0.0,0
-236.447529,100,1109.846233,0.0,0
-34.750752,17,1110.494474,0.901710210063327,0
-244.425948,100,1114.532099,0.0,1
-263.359076,100,1118.824993,0.0,0
-236.796068,100,1122.78853,0.0,0
-245.026461,100,1127.063902,0.0,0
-244.359736,100,1131.049618,0.0,3
-35.023832,18,1131.716309,1.5756425862497279,0
-240.487064,100,1135.866725,0.0,0
-229.575763,100,1139.792371,0.0,0
-238.758581,100,1144.367557,0.0,0
-239.924876,100,1148.850382,0.0,0
-224.204956,100,1153.551589,0.5756711633273269,0
-33.674462,17,1154.271941,1.0159678011556894,0
-231.353653,100,1158.928776,0.7601010797919846,2
-236.065405,100,1163.176934,0.0,0
-246.861571,100,1167.468343,0.0,0
-239.197394,100,1171.412708,0.0,0
-39.998096,20,1172.219054,0.8512672692564731,0
-240.628914,100,1176.226869,0.0,0
-37.328571,18,1176.944358,1.0992112826455023,0
-38.51904,19,1177.804327,0.9753902632904794,0
-237.48864,100,1181.67587,0.0,0
-240.734344,100,1185.89922,0.0,0
-236.76459,100,1190.061163,0.0,0
-234.579105,100,1194.169203,0.0,0
-34.445162,18,1195.136131,0.8316667106599838,0
-234.751263,100,1199.162316,0.0,0
-234.80612,100,1202.995314,0.0,0
-38.662702,19,1203.733287,0.850744488748694,0
-228.158707,100,1207.563902,0.1336903154521193,0
-230.114352,100,1210.849416,0.18553995708034643,0
-35.579984,18,1211.458709,0.9814838744743758,0
-229.849075,100,1214.938336,0.0,0
-227.823538,100,1218.654314,0.0,0
-227.754021,100,1222.803141,0.0,0
-231.498544,100,1226.306292,0.0,1
-226.440765,100,1229.722321,0.21661232675212008,0
-226.30864,100,1233.245209,0.0,0
-224.553983,100,1236.749276,0.0,2
-36.245646,18,1237.390662,1.1818759102359868,0
-227.132948,100,1240.899374,0.0,0
-228.974011,100,1244.993735,0.0,0
-211.566318,100,1249.507382,0.7744065722035111,2
-229.761891,100,1253.440367,0.0,0
-229.229133,100,1257.352307,0.0,0
-227.022343,100,1260.903331,0.0,0
-234.35416,100,1265.349289,0.8216975762349223,17
-228.499429,100,1269.017317,0.0,0
-42.352673,21,1269.768438,0.8430119785368321,0
-225.270037,100,1273.198448,0.0,0
-38.164532,19,1273.841,0.8840178518010684,0
-225.011391,100,1277.046899,0.0,0
-223.24129,100,1280.452771,0.0,0
-230.526972,100,1284.274209,0.6652836055137503,2
-226.324507,100,1288.369736,0.0,0
-226.419687,100,1292.019044,0.0330313651927172,0
-230.683489,100,1295.493517,0.5552453751215802,0
-214.980916,100,1311.382957,1.19683796847204,0
-43.549803,22,1312.381197,0.9050069949760923,0
-227.419695,100,1316.710797,0.0,0
-225.040307,100,1320.320442,0.0,0
-206.349567,94,1323.520394,1.2352375169285779,1
-35.893433,18,1324.193506,0.880495242950917,0
-228.289732,100,1328.024075,0.0,0
-38.59326,19,1328.930688,1.0763102442552266,0
-210.793877,100,1332.935621,0.0,0
-38.853706,19,1333.742698,1.0129652169644319,0
-228.752132,100,1337.832279,0.0,0
-35.960125,18,1338.610633,1.1522323270839725,0
-227.001565,100,1342.869185,0.0,0
-38.341887,19,1343.707597,0.9388585599645789,0
-222.840885,100,1347.894547,0.0,0
-215.387069,100,1352.195731,0.0,0
-221.840181,100,1356.239267,0.0,0
-221.603592,100,1360.582788,0.0,0
-225.596961,100,1364.538329,0.0,0
-218.452045,100,1368.058991,0.0,0
-227.248737,100,1371.720974,0.0,0
-212.268482,100,1374.885562,2.3460038475299663,0
-223.426311,100,1378.319806,0.05578790667707425,0
-37.809343,19,1378.975549,1.4541667962976395,0
-227.927894,100,1382.176587,0.4341476926815027,0
-37.361645,19,1382.805509,1.120527341894402,0
-221.038542,100,1386.17279,0.0,0
-107.255023,50,1388.207957,1.1085602883709005,0
-39.233837,20,1388.988009,1.7953142216589906,0
-38.279634,19,1389.737666,0.989052071574103,0
-36.477988,18,1390.464677,0.8760700714862492,0
-40.67331,20,1391.32217,1.1338438794327232,0
-224.139557,100,1395.111361,0.0,0
-223.117389,100,1399.0211,0.0,0
-35.067064,17,1399.778936,1.0252518057052304,0
-222.61273,100,1404.487003,0.0,0
-213.485389,100,1408.776242,0.0,0
-221.026047,100,1412.368724,0.0,0
-66.934169,32,1413.42305,0.8245043343971002,0
-225.884616,100,1417.08079,0.0,0
-224.157773,100,1420.798245,0.0,0
-225.797696,100,1424.261897,0.0,0
-221.00459,100,1427.675239,0.24513220393579033,0
-222.693599,100,1431.278705,0.0,0
-226.569066,100,1435.066906,0.0,0
-76.714652,38,1436.50099,0.8069021436600664,0
-35.44123,18,1437.246265,0.9376748875379305,0
-226.325405,100,1440.822242,0.10667491914118461,2
-227.184612,100,1444.396251,0.14197839407092136,0
-35.338616,18,1445.035058,1.4932069967200194,0
-218.94296,100,1448.502183,0.0,0
-175.884713,81,1451.056273,1.6767454071805958,2
-214.732545,100,1454.248146,0.17780343441031315,0
-212.471732,100,1457.524531,1.153836207084702,1
-106.344473,49,1459.126558,1.407745627238654,1
-33.646232,17,1459.687714,1.795604841192721,0
-220.86626,100,1462.935791,0.0,0
-215.922862,100,1466.056461,2.1375504601099657,1
-223.549342,100,1469.415551,0.0,2
-38.464398,19,1470.006355,1.190435716269072,0
-223.880972,100,1473.199668,0.0,1
-220.76395,100,1476.510759,0.0,0
-219.282465,100,1479.873961,0.0,0
-220.278224,100,1483.061751,0.013855861038179373,0
-219.014136,100,1486.298075,0.0,0
-220.529748,100,1489.47553,0.0,0
-224.187868,100,1492.669409,0.18083114003660974,1
-216.469514,100,1508.002776,0.0,0
-34.087327,17,1508.627322,1.3005011822910966,0
-106.824875,52,1510.446293,1.0011294737240597,0
-221.585174,100,1513.593914,0.0,0
-210.734124,100,1517.593979,0.0,0
-221.37928,100,1521.258242,0.0,0
-35.609672,18,1521.838175,1.2079688401525326,0
-45.90989,23,1522.688094,0.9228234001681191,0
-38.454611,19,1523.363661,0.9056700305607033,0
-218.83666,100,1526.77262,0.0,0
-34.504158,17,1527.329776,1.2347528542367945,0
-38.524567,18,1527.939018,0.8023537206899566,0
-108.494724,52,1529.614625,1.1012966677537184,1
-35.975967,18,1530.24304,1.0317061443400104,0
-38.559191,19,1530.926003,1.2390045074207638,0
-42.568712,21,1531.709047,0.8256157215649143,0
-39.760841,19,1532.406628,1.103048134466095,0
-219.676043,100,1535.772951,0.0,0
-216.831968,100,1539.14021,0.0,0
-32.377539,16,1539.657905,1.0663039619054986,0
-221.12056,100,1543.481974,0.05112362718167856,0
-221.423637,100,1547.12926,0.0,0
-219.554973,100,1550.605204,0.0,0
-214.517165,100,1554.111709,0.242661920738332,0
-217.738042,100,1557.729895,0.0,0
-210.062247,100,1561.194089,0.0,0
-32.445731,16,1561.922272,0.8061456364739399,0
-223.781813,100,1565.246652,0.0,0
-224.996962,100,1568.542409,0.0,1
